Hours     ,J2,C8,,,
0:05:00,0.74,1.42,,,
0:10:00,0.73,1.39,,,
0:15:00,0.72,1.36,,,
0:20:00,0.71,1.33,,,
0:25:00,0.7,1.3,,,
0:30:00,0.69,1.27,,,
0:35:00,0.68,1.24,,,
0:40:00,0.67,1.22,,,
0:45:00,0.66,1.19,,,
0:50:00,0.65,1.17,,,
0:55:00,0.64,1.14,,,
1:00:00,0.63,1.12,,,
1:05:00,0.63,1.09,,,
1:10:00,0.62,1.07,,,
1:15:00,0.61,1.05,,,
1:20:00,0.6,1.03,,,
1:25:00,0.6,1.01,,,
1:30:00,0.59,0.99,,,
1:35:00,0.58,0.97,,,
1:40:00,0.57,0.95,,,
1:45:00,0.57,0.93,,,
1:50:00,0.56,0.91,,,
1:55:00,0.55,0.9,,,
2:00:00,0.55,0.88,,,
2:05:00,0.55,0,,,
2:10:00,0.55,0,,,
2:15:00,0.55,0,,,
2:20:00,0.55,0,,,
2:25:00,0.55,0,,,
2:30:00,0.55,0,,,
2:35:00,0.55,0,,,
2:40:00,0.55,0,,,
2:45:00,0.55,0,,,
2:50:00,0.55,0,,,
2:55:00,0.55,0,,,
3:00:00,0.55,0,,,
3:05:00,0.55,0,,,
3:10:00,0.55,0,,,
3:15:00,0.55,0,,,
3:20:00,0.55,0,,,
3:25:00,0.55,0,,,
3:30:00,0.55,0,,,
3:35:00,0.55,0,,,
3:40:00,0.55,0,,,
3:45:00,0.55,0,,,
3:50:00,0.55,0,,,
3:55:00,0.55,0,,,
4:00:00,0.55,0,,,
4:05:00,0.55,0,,,
4:10:00,0.55,0,,,
4:15:00,0.55,0,,,
4:20:00,0.55,0,,,
4:25:00,0.55,0,,,
4:30:00,0.56,0,,,
4:35:00,0.57,0,,,
4:40:00,0.58,0,,,
4:45:00,0.59,0,,,
4:50:00,0.61,0,,,
4:55:00,0.63,0,,,
5:00:00,0.66,0,,,
5:05:00,0.69,0,,,
5:10:00,0.73,0,,,
5:15:00,0.77,0,,,
5:20:00,0.83,0,,,
5:25:00,0.9,0,,,
5:30:00,0.97,0,,,
5:35:00,1.05,0,,,
5:40:00,1.13,0,,,
5:45:00,1.22,0,,,
5:50:00,1.32,0,,,
5:55:00,1.42,0,,,
6:00:00,1.52,0,,,
6:05:00,1.63,0,,,
6:10:00,1.74,0,,,
6:15:00,1.85,0,,,
6:20:00,1.95,0,,,
6:25:00,2.06,0,,,
6:30:00,2.17,0,,,
6:35:00,2.27,0,,,
6:40:00,2.38,0,,,
6:45:00,2.49,0,,,
6:50:00,2.59,0,,,
6:55:00,2.7,0,,,
7:00:00,2.81,0,,,
7:05:00,2.91,0,,,
7:10:00,3.01,3.4,,,
7:15:00,3.08,3.09,,,
7:20:00,3.15,3.07,,,
7:25:00,3.21,3.06,,,
7:30:00,3.28,3.03,,,
7:35:00,3.34,3.04,,,
7:40:00,3.4,3.05,,,
7:45:00,3.45,3.06,,,
7:50:00,3.51,3.08,,,
7:55:00,3.56,3.09,,,
8:00:00,3.61,3.11,,,
8:05:00,3.66,3.12,,,
8:10:00,3.71,3.13,,,
8:15:00,3.75,3.14,,,
8:20:00,3.79,3.15,,,
8:25:00,3.82,3.16,,,
8:30:00,3.85,3.16,,,
8:35:00,3.88,3.17,,,
8:40:00,3.91,3.18,,,
8:45:00,3.93,3.18,,,
8:50:00,3.95,3.19,,,
8:55:00,3.98,3.19,,,
9:00:00,4,3.2,,,
9:05:00,4.01,3.2,,,
9:10:00,4.03,3.21,,,
9:15:00,4.04,3.21,,,
9:20:00,4.05,3.21,,,
9:25:00,4.05,3.21,,,
9:30:00,4.06,3.21,,,
9:35:00,4.06,3.21,,,
9:40:00,4.06,3.21,,,
9:45:00,4.05,3.21,,,
9:50:00,4.05,3.21,,,
9:55:00,4.04,3.21,,,
10:00:00,4.04,3.2,,,
10:05:00,4.03,3.2,,,
10:10:00,4.02,3.2,,,
10:15:00,4.01,3.2,,,
10:20:00,4,3.19,,,
10:25:00,3.99,3.19,,,
10:30:00,3.98,3.19,,,
10:35:00,3.96,3.18,,,
10:40:00,3.95,3.18,,,
10:45:00,3.94,3.18,,,
10:50:00,3.92,3.17,,,
10:55:00,3.91,3.17,,,
11:00:00,3.89,3.16,,,
11:05:00,3.88,3.16,,,
11:10:00,3.86,3.16,,,
11:15:00,3.84,3.15,,,
11:20:00,3.83,3.15,,,
11:25:00,3.81,3.14,,,
11:30:00,3.79,3.14,,,
11:35:00,3.78,3.13,,,
11:40:00,3.76,3.13,,,
11:45:00,3.74,3.12,,,
11:50:00,3.72,3.12,,,
11:55:00,3.7,3.11,,,
12:00:00,3.69,3.11,,,
12:05:00,3.67,3.11,,,
12:10:00,3.65,3.1,,,
12:15:00,3.63,3.1,,,
12:20:00,3.61,3.09,,,
12:25:00,3.59,3.08,,,
12:30:00,3.57,3.08,,,
12:35:00,3.55,3.07,,,
12:40:00,3.53,3.07,,,
12:45:00,3.51,3.06,,,
12:50:00,3.49,3.06,,,
12:55:00,3.47,3.05,,,
13:00:00,3.45,3.05,,,
13:05:00,3.44,3.04,,,
13:10:00,3.42,3.04,,,
13:15:00,3.4,3.03,,,
13:20:00,3.38,3.03,,,
13:25:00,3.36,3.02,,,
13:30:00,3.34,3.02,,,
13:35:00,3.32,3.01,,,
13:40:00,3.29,3,,,
13:45:00,3.27,3,,,
13:50:00,3.25,2.99,,,
13:55:00,3.23,2.99,,,
14:00:00,3.21,2.98,,,
