,datetime,setting
0,2018-02-06 00:15:08,0.7
1,2018-02-06 00:30:08,0.6
2,2018-02-06 00:45:08,0.6
3,2018-02-06 01:00:08,1.0
4,2018-02-06 01:15:08,0.7
5,2018-02-06 01:30:08,0.6
6,2018-02-06 01:45:08,0.1
7,2018-02-06 02:00:08,0.2
8,2018-02-06 02:15:08,1.0
9,2018-02-06 02:30:08,0.0
10,2018-02-06 02:45:08,0.2
11,2018-02-06 03:00:08,0.2
12,2018-02-06 03:15:08,0.4
13,2018-02-06 03:30:08,0.1
14,2018-02-06 03:45:08,0.7
15,2018-02-06 04:00:08,0.2
16,2018-02-06 04:15:08,0.9
17,2018-02-06 04:30:08,0.9
18,2018-02-06 04:45:08,0.4
19,2018-02-06 05:00:08,1.0
20,2018-02-06 05:15:08,0.2
21,2018-02-06 05:30:08,0.7
22,2018-02-06 05:45:08,0.4
23,2018-02-06 06:00:08,1.0
24,2018-02-06 06:15:16,0.8
25,2018-02-06 06:30:25,0.6
26,2018-02-06 06:45:25,0.2
27,2018-02-06 07:00:25,0.8
28,2018-02-06 07:15:25,0.8
29,2018-02-06 07:30:25,1.0
30,2018-02-06 07:45:25,0.5
31,2018-02-06 08:00:25,0.1
32,2018-02-06 08:15:25,0.2
33,2018-02-06 08:30:25,0.6
34,2018-02-06 08:45:25,0.2
35,2018-02-06 09:00:25,0.1
36,2018-02-06 09:15:25,0.0
37,2018-02-06 09:30:25,0.2
38,2018-02-06 09:45:25,0.1
39,2018-02-06 10:00:25,0.5
40,2018-02-06 10:15:25,0.6
41,2018-02-06 10:30:25,0.5
42,2018-02-06 10:45:25,0.7
43,2018-02-06 11:00:25,0.3
44,2018-02-06 11:15:25,0.4
45,2018-02-06 11:30:25,0.1
46,2018-02-06 11:45:25,0.3
47,2018-02-06 12:00:25,0.6
48,2018-02-06 12:15:25,0.1
49,2018-02-06 12:30:25,0.2
50,2018-02-06 12:45:25,0.6
51,2018-02-06 13:00:25,0.4
52,2018-02-06 13:15:25,0.8
