,datetime,setting_ORIFICE R1
0,2018-02-06 00:15:08,1.0
1,2018-02-06 00:30:08,1.0
2,2018-02-06 00:45:08,0.3
3,2018-02-06 01:00:08,0.4
4,2018-02-06 01:15:08,0.2
5,2018-02-06 01:30:08,0.2
6,2018-02-06 01:45:08,0.7
7,2018-02-06 02:00:08,1.0
8,2018-02-06 02:15:08,0.9
9,2018-02-06 02:30:08,0.6
10,2018-02-06 02:45:08,0.2
11,2018-02-06 03:00:08,0.9
12,2018-02-06 03:15:08,0.4
13,2018-02-06 03:30:08,0.0
14,2018-02-06 03:45:08,0.1
15,2018-02-06 04:00:08,0.4
16,2018-02-06 04:15:08,0.1
17,2018-02-06 04:30:08,0.2
18,2018-02-06 04:45:08,0.6
19,2018-02-06 05:00:08,0.0
20,2018-02-06 05:15:08,0.6
21,2018-02-06 05:30:08,0.6
22,2018-02-06 05:45:08,0.6
23,2018-02-06 06:00:08,0.5
24,2018-02-06 06:15:08,0.8
25,2018-02-06 06:30:16,0.6
26,2018-02-06 06:45:16,1.0
27,2018-02-06 07:00:16,0.7
28,2018-02-06 07:15:16,1.0
29,2018-02-06 07:30:16,0.8
30,2018-02-06 07:45:16,0.5
31,2018-02-06 08:00:16,0.5
32,2018-02-06 08:15:24,0.5
33,2018-02-06 08:30:24,0.6
34,2018-02-06 08:45:24,0.5
35,2018-02-06 09:00:24,0.7
36,2018-02-06 09:15:24,0.5
37,2018-02-06 09:30:24,0.7
38,2018-02-06 09:45:24,0.4
39,2018-02-06 10:00:24,0.7
40,2018-02-06 10:15:24,0.0
41,2018-02-06 10:30:24,0.1
42,2018-02-06 10:45:24,0.3
43,2018-02-06 11:00:24,0.1
44,2018-02-06 11:15:24,0.6
45,2018-02-06 11:30:24,0.3
46,2018-02-06 11:45:24,0.3
47,2018-02-06 12:00:24,0.5
48,2018-02-06 12:15:24,0.0
49,2018-02-06 12:30:24,0.2
50,2018-02-06 12:45:24,0.1
51,2018-02-06 13:00:24,0.4
52,2018-02-06 13:15:24,0.6
53,2018-02-06 13:30:24,0.5
54,2018-02-06 13:45:24,0.5
55,2018-02-06 14:00:24,0.3
56,2018-02-06 14:15:24,0.3
57,2018-02-06 14:30:24,0.6
58,2018-02-06 14:45:24,0.4
59,2018-02-06 15:00:24,0.0
60,2018-02-06 15:15:24,0.0
61,2018-02-06 15:30:24,0.0
62,2018-02-06 15:45:24,0.7
